Line,Station,Latitude,Longitude,Distance
Line 1,Dongmyo,37.572627,127.016429,2.96566970194402
Line 1,City Hall,37.570161,126.982923,0.793084026931665
Line 1,Sichong,37.564718,126.977108,1.18936318587271
Line 1,Seoul,37.554648,126.972559,2.84625760356433
Line 1,Yongsan,37.529849,126.964561,2.6118265960557
Line 1,Noryangjin,37.514219,126.942454,1.42091007987631
Line 1,Daebang,37.513342,126.926382,0.914847670445202
Line 1,Singil,37.517122,126.917169,2.46574762775502
Line 1,Sindorim,37.508725,126.891295,1.03775090919524
Line 1,Guro,37.503039,126.881966,
Line 2,Gangnam,37.497175,127.027926,1.29109705159897
Line 2,Seoul Nat’l Univ. of Education,37.493415,127.01408,0.569331240030435
Line 2,Seocho,37.491897,127.007917,1.47814996110848
Line 2,Bangbae,37.481426,126.997596,1.50586749786397
Line 2,Sadang,37.47653,126.981685,2.60754401415885
Line 2,Seoul National University,37.481247,126.952739,2.05795754593504
Line 2,Sillim,37.484201,126.929715,3.14710705291529
Line 2,Daerim,37.49297,126.895801,1.79640656778601
Line 2,Sindorim,37.508725,126.891295,1.06852132952704
Line 2,Mullae,37.517933,126.89476,0.789496988970786
Line 2,Yeongdeungpo-gu Office,37.52497,126.895951,1.18592294823954
Line 2,Dangsan,37.53438,126.902281,1.95790426261948
Line 2,Hapjeong,37.549463,126.913739,2.13632845862777
Line 2,Sinchon,37.555134,126.936893,1.71443779438523
Line 2,Ahyeon,37.557345,126.956141,
Line 3,Anguk,37.576477,126.985443,0.77955281920903
Line 3,Jongno 3-ga,37.571607,126.991806,1.17287221337917
Line 3,Chungmuro,37.561243,126.99428,1.63483149436542
Line 3,Yaksu,37.55434,127.010655,1.64947246534184
Line 3,Oksu,37.540685,127.017965,1.77421384838964
Line 3,Apgujeongrodeo,37.527072,127.028461,1.40269491958532
Line 3,Sinsa,37.516334,127.020114,0.879421510722753
Line 3,Jamwon,37.512759,127.01122,1.04298209258408
Line 3,Express Bus Terminal,37.50481,127.004943,1.5017218887871
Line 3,Seoul Nat’l Univ. of Education,37.493415,127.01408,0.952609937340929
Line 3,Nambu Bus Terminal,37.485013,127.016189,
Line 4,Hyehwa,37.582336,127.001844,2.43833126764261
Line 4,Chungmuro,37.561243,126.99428,2.05030170942402
Line 4,Seoul,37.554648,126.972559,2.21008833507857
Line 4,Samgakji,37.534777,126.97311,1.39475091420504
Line 4,Ichon,37.522272,126.974345,2.19032580822821
Line 4,Dongjak,37.502971,126.979306,1.87286296811502
Line 4,Isu,37.486263,126.981989,1.08259260370374
Line 4,Sadang,37.47653,126.981685,1.55335748168955
Line 4,Namtaeryong,37.463873,126.989134,
Line 5,Yeongdeungpo-gu Office,37.52497,126.895951,2.06473660057514
Line 5,Singil,37.517122,126.917169,1.77635258192697
Line 5,Yeouinaru,37.527098,126.932901,1.8013346352804
Line 5,Mapo,37.539574,126.945932,0.702291437561479
Line 5,Gongdeok,37.544018,126.951592,2.06918654052794
Line 5,Chungjeongno,37.559973,126.963672,0.696002739514728
Line 5,Seodaemun,37.565773,126.966641,3.63687960534438
Line 5,Dongdaemun History & Culture Park,37.565138,127.007896,
